,title,comment
13700,15만원이내로 사줄만한 남친 생일선물 뭐있을까.,면도기 게임 하면 헤드셋이나 마우스 게임칩 같은거.
14100,다이어트해서 살 빼면 나한테 없던 이성적 관심 생길 수 있을까.,그러는 남자도 있고 아닌 남자도 있고 시각적으로 오!하게 여성스럽게 꾸미고 함 만나봐.
5614,소개팅 가는데 옷 뭐가좋을지 골라줘ㅠㅠ.,스스로도 짧다 느낄 정도면 짧치는 빼자 333.
29376,근데 눈낮춰서 할 바에야 결혼 안하고싶은데 ㅋㅋ.,눈높이를 떠나서 그냥 마음 맞고 안정적인 사람 만나고 싶은데 이것도 진짜 쉽지가 않더라.
3594,다들 데이트 비용 어떻게 내.,너가 저만큼 돈을 쓰고도 별 생각 안들만큼 여유로우면 상관없을지도 모르겠는데 이게 신경쓰인다면 이미 글렀다 싶어내가 본 남자들은 자기가 적게 벌어도 자기가 계산하고 싶어 하던데 굳이 저런 남자를 고쳐가며 만나야 할까 잘 생각해봐ㅠㅠ.
18327,생일선물 남친이 사준다는데 고민이야.,내가 준거 비슷하게.
5699,난 반댄데 ㅅㅂㅋㅋㅋ돈보다 애인돈 쓰는게 더 아까워서.,나랑사겨.
30720,우울증 심하면 연애 하면 안되겠지.,대체로 그렇지.
23984,다시 읽어도 선배가 선 넘은건지 모르겠는데.,ㄹㅇ.
5292,인천 성남이면 장거리야.,ㄴㄴ.
11121,남친 약속 겁나 많은데 나만 만나면 피곤하대.,남친 맘 없는거같은디.
26591,썸남이 대화중에 갑자기 자버리는데 이해해봐.,졸리다고 말 못하고있다가 잠드는듯.
27641,통금 가치관 맞아서 넘나 다행이었어.,가치관은맞아서 다행인데 당연한건모를일이다.
21192,오늘100일인데 남친이 과연 꽃을사올가용!.,텔레파시 보내!!.
34752,전남친 맘에 안드는데 친적가족들이 계속 물어보네.,두그래 그래서 기대가 겁나 컸었어 맨날 만나면 남친얘기 물어보고 하지금은 헤어져서 전남친이지만 친척들 진짜 꼴보기싫엇어.
28296,이거 어이없어하먄 예민함.,그냥 더 얘기하고 싶다는 투정일수도 있고 글만봐선 알수없음 왜 더 놀아죠 자러 가지 마까 요렇게 물어봐줘도 되자나.
28597,코로나 걸려써.,난 아프드라 몸부터 추스려.
8072,남친이랑 맞는게 하나도 없는데도 사귀는 친구들 있어.,야나도.
37029,잘생겼는데 키 168170이면 만날수있어.,내가 165면 못만날 것 같아.
3614,연하는 어떻게 꼬시냐.,누나랑 맛있는거 먹으러 갈래.
4924,임티 이거 사고 싶다니까 남친이 격하게 말리는데.,일단 사고 바로 써버렷 .
7597,일주일 동안.,그렇게 칼같은 성격이면 나같음 더더욱 도중에 연락 안할듯.
28751,그거 언제 했어 예전에~., 남친도 밥먹으러 갔다가 지인이랑 와본 적 있다고 하길래 웃겼 주변에 친구 별로 없는 사람인데 ^지인^이랑 왔다길래  걍 넘어가.
30062,밥 2그릇먹어서 배 풍선같은데남친이 자취방으로 놀러오래.,오늘은 벗지말자.
30891,같이 있을 때는 그냥 좋은데 떨어져있으면 헤어져야겠다는 생각들면.,같이 있어서 좋다는 게 1차원적인 교감인거지 당장 눈 앞에 있고 만질 수 있고 일단 내 손아귀 안에 있으니 일시적으로 불안이 들지 않는 거.
37015,극도로 방목형이거나 그런 애인 둔 친구 있어.,오올~~~ 그럼 난 궁금한게남친이랑 시시덕거리는 대화 안하면 남친이일상중에 뭘 하고 누굴 만나고 이런거 안궁금한거야.
11878,헤어지고 미련 남는거있잖아.,케바케.
8320,당신강해요 거의 연하남 치트키수준.,이제 약한 연하남만나면 글도 못올림.
20129,갑자기 뷰방 된거같은데 ㅋㅋㅋ 시술하는거 있음.,울쎄랑 인모드는 절대 안하고써마지랑 올리지오 3개월마다 하는편.
33436,뭔데 나만 기념일 안챙겨도 아무렇지 않은거야.,나도 그래~.
7289,소개남 만나볼까말까.,ㅍ 댓고마워!!.
23351,아니 남친이 자기가 원하는과 안가서 서운한걸 우리가 왜 위로해 줘야 하는 거지.,개웃겨 쟤 벌써 혼자 결혼했음.
7542,결혼 예산 잡을 때 가장 먼저 집부터 고려해야 함.,마쟈 사실 돈만 많으면 고민할꺼 없지.
20887,자존감 낮을때 연애한거 존나후회함.,내 얘긴줄 ㅠㅠㅠ.
10033,데이트비용 어떻게 나눠.,그냥 눈치껏 돌아가며 계산~ 데이트비용에 대한 대화를 나눠본 적이 없눈데.
25913,오늘 수요일인줄.,ㄹㅇ 아침부터 재밌는 글 많네 .
1701,연애가 이렇게 행복할 수 있다는걸 8번째 연애에서 알다니.,부러워 불안감은 어떻게 해야 사라져.
30984,남친 집에서 기둥같은데 이걸로는 모르나.,기둥이면 니남친 월급이 생활비로 들어가겠지 저건 걍 아버지 계셔도 할수있는 일임.
4943,난 진짜 집순이라 그런가 약속 취소 아무 상관 없음.,오히려좋아.
4794,헤어지고 재회생각 없어도 연락오면 받아줘.,아니.
3568,혼자서도 행복해지고싶은데 어떻게해야해.,친구은 상담 받아봐 ㅠㅠ.
21058,나 좋아하는 능력 쩌는 남자 vs 내가 좋아하는 다정한 남자.,11.
6011,이거 내가 잘못한거야.,잘못한 거 아니고 서운해할 만은 한 듯 근데 그걸로 삐지는 게 이상해.
22228,Isfp 특징 하나씩만 말해주고가.,나 isfp인데 남한테 기본 관심 없음근데 눈치랑 분위기는 많이 살피기도하고 좋아하는 사람이면 질문 많이 해.
10602,다들 연애하면서 자기자신도 잃지 않았으면 좋겠다.,맞아 나를 잃는 순간부터 그건 연애가 아닌거야 일방적으로 착취 당하고 가스라이팅 당하는 피해자일뿐 연애는 동등한 입장에서 하는거임 이상하다 싶으면 얼른 빠져나와야해.
6355,헤어지고 소개팅 얼마만에 가능해.,이미 식은 상태에서 헤어진거면 다음날부터도 할수있는데상대방이 물어보면 좀 머쓱하긴 할.
17936,커피나 저녁식사하자고하면 부드럽게 어뜨케 거절하냥.,부드럽게 거절하면 다음에 또하니까 단호하게 거절해.
22494,싸울 때 해결방식 뭐가 더 싫어.,1이 더 싫어 최악임.
6652,너무 힘들고 외로운 연애 계속 하는 게 맞을까.,헤어져.
31904,내가 연락안됐는데 남친이 뭐라하는게아니라 걱정해줘서미안하네ㅜ.,잘모쌨네.
29423,남친이 운전하는데 욕을해.,나랑 같은 고민이다 내남친도 그래 거기다가 운전하다 차막히는건 다반사인데 차막히면 그렇게 신경질을 내 차라리 대중교통 뚜벅이할때가 맘편할정도 ㅠ.
6699,직장인들은 어케 연애하는거냐.,체력없는걸 뚫고도 만나고싶은 그런 사람 만나야지힘든데도 보고싶고 보면 힘날거같고 그런사람 이젠 그런 사람 아니면 연애도 못하것어.
3067,20대에 결혼하고싶다.,나두난 28안으로 애기 낳고싶어ㅠ.
15825,헤어질 때 하고싶은 말 못 했어서 답답한데 이제와서 얘기하면 구차해보일 거 같음ㅠ.,자기 선택에 따른 감내라 여기고 털어버리자오늘의 네가 만족하도록 또 무슨 수를 쓰면 미래의 너도 고통 받을 거야.
6888,다이어트하면 연애 할 확률이 올라가겠지.,그런 생각 안하고 잘먹고 잘살다 보면 생김.
37261,연애 센스 제로인 남자와 소개팅한 후기.,그냥 밥먹지말지그랬어 괴로웠겠는데.
19761,이 대화 어때.,그냥 흔한 소개팅 시작대화 인데나는 불호임.
3479,Intj친구들 애인이 친구앞에서 울면 어때.,아니 인티제뿐만 아니라 그 누구도 기빨리지.
36796,너네 카페에서 뽀뽀하는 것도.,ㅇㅇ이보고싶지않음 둘만있을떄하면 얼마나조아.
3810,짝남 다른 곳으로 발령났다.,난내가 간다 ㅜㅜ회사가는게 그렇게좋았늨데ㅜ흐엉.
14645,티파니 이정도면 몇캐럿이야 비싸.,진짜 티파니 다이아몬드라고 가정했을때 저 크기면 되게 비쌀거 같은데.
5484,나에 대해서 잘 기억 못하는거는 관심이 없는거겠지.,ㅇㅇ 관심없으면 절대 기억 안 나더라ㅜㅜ ㅌㄷㅌㄷ.
13417,정들면 더러운꼴 봐도 괜찮던데.,정들면 똥싸도 괜찮나봐 치매걸리신 할머니 할아버지 배우자분들이 열심히 수발드시는 모습보면.
14521,서로 이성이랑 접점이 생기는거 자체를 원천차단하는 커플 많아.,둘이 성향이 맞으면 저렇게 사는게 편할나는 아니고 하나는 저런성향이라 연방에 고민글 자주올라오던.
26499,나도 커뮤니티 질문.,ㅇㅇ 커뮤에서 하연수 욕하는 이유만 봐도이해 안가.
28966,술 좋아하는 사람 안좋아하는 사람 진짜 안맞는듯.,ㄹㅇ 남자친구 술 좋아해서 진짜 거지 같으.
16258,고등학생때 국어선생님이 맞선결혼이라.,조건 맞추고 맘있는 사람이랑 결혼하는거지.
35093,남친이 자기는 안 변한다는 말 믿어.,아니더.
21506,휴 남친이랑 데이트하고 지금 옴.,힝 낭만적이다 ! 행복했겠다 너가.
3839,결혼식하면 부를 친구가 많아야 10명 내외인데 너무 적지.,지나면 아~무 의미 없습니다.
4643,istj 친구들아 혹시 여기 있니.,얼굴도 안 봤는데 무슨 관심약속 언능 정하고 얼굴 보고 온담에 고민하자.
35276,난 내모습을 있는 그대로 편하게 보일 수 있는 사람이랑 오래가는듯.,초반엔 불편 긴장 설렘 장기로 가면서 서로가 제일 편한 관계인게 좋아  이게 젤 정석아닐까.
30602,중거리 연애 힘들어서 헤어지는경우도 있을까.,30분이 중거리야.
11334,남친 리트리버인척하는 작은 말티쥬같아.,말티즈처럼 화가 많은데 리트리버처럼 평온한척 한다는 말인줄 .
21764,친구들 주변에 교수랑 학생이랑 결혼한 경우 있어.,원생이랑 한 건 봤어학부생은 못봄.
9159,아니 원글이 뭐야 궁금한데 핫게가도 비슷한 글이 딱히 안보이는데.,아 지워졌다 좀전에 있었는데.
929,회사에서 만난 동기랑 퇴근후에 단둘이 밥먹을 일이 많아.,무슨일하는지 따라 다르지.
569,남친이 여행 일수로 터치하기도 해.,몇주라도감.
24117,진짜 좋아하는 사람이면 기다려 줄 수 있어.,절대 안기다림.
37353,근데 진짜 자기 인연 있나봐.,난 믿어 그 말 지금 남친도 신기하게 만나ㅎㅎ연이다 싶은 사람 만나면 연애도 순탄한거 같아.
12790,남친이랑 헤어졌는데 남친 이해되는 건지 봐줘.,이해해줄 필요없음 그 여자랑 사귀라그래.
1107,스파갈건데 수영복 추천 좀!!!.,맨 마지막가.
22159,근데 애인이랑 싸우고 그냥 휙 남겨두고 가버리는 거.,난 안방에서 싸우고 남친이 다른 방 가서 자도 서럽고 비참하던데 아예 나가버리면 으.
33489,이거 서운할것같아.,쟤가 서운할 권리가 있냐 싸운 내용이 개에바야.
26304,연애가 얼마나 간절해져야 조건 포기가 돼.,연애가 간절하다기 보다는 그 사람이 정말 마음에 들면 포기가 됨.
12422,불안형인 친구들아 너네도 이런 생각해.,응 난 그래 그래서 안그럴려고 노력하는 편 그치만 특히 말로는 보고싶다하는데 나같으면 보러 오겠다 싶은 생각들면 좀 힘들더라.
36418,난 솔직히 내 남친 잘생겨보이지 않ㅋㅋㅋㅜㅜ.,나도 첨부터 그랬는데.
1677,애인사이에 호칭이 오빠여봤자 딱히 연장자 대우를 하는건 아니지 않아.,ㅇㅇ 그냥 서로 존중하지 호칭 하나로 상하관계가 정해질거같은 얄팍한 사이면 애초에 연인관계도 아.
34537,뭐야 연방아니고 케톡 잘못들어온줄.,남친이 2번 뽑았다는 글 올라왔는데 거기에 2번이라고 하지 말고 성향이 다르다고 고치라고 고나리 올라와서 플 길어졌대 원글은 삭제됨.
4007,남친 너무 귀여워 미쳐.,나도 내남친 너무기여워.
21588,친구들 결혼하면서 싱글친구랑은 조금씩 멀어지는게 정상인가.,엄마만 봐도 알잖아 여자들은 특히 더 그런듯 전업해도 그런데 일하면 진짜 정신없어서 더 아마 대부분 그럴거야 공통 관심사가 있어야 편한데 미혼과 기혼은 그게 다르기도 하니까 자연스런 흐름이기도 하고.
18188,내가 모텔예약하고 밥 스시먹재서 근데 넘 비싸이랬더니.,에반데.
2044,아아 남친 조아서 주체를 못하겠어 나 좀 때려줘.,퍽퍽.
35645,진짜 피임법 모르면 ㅅㅅ 하지뭬.,하지마 제발 아기도 만들지마 태어난 애는 뭔죄임.
12093,나 초딩때는 2627살 정도되면 다 결혼하는 줄.,나도 26살에 결혼하고 싶었어!!!!!!!현실은 하앗.
10521,와 내남친 왜이래.,우리 아빠같다.
19996,회피성향 남친은 어떻게 이별함.,잠수타지 않을까.
37341,서울 시내 10만원 이내 호캉스 부탁해!! 조식 안 먹을 거.,포포인츠 롯데시티호텔.
32275,이거 당연한거지 남친이랑 사이 알콩달콩 엄청 좋다가.,찮아 식은 물도 시간 지나면 다시 끓어.
21157,남자 소개팅 옷 어떻게 입어야함 조언좀.,셔츠 슬랙스.
17545,몇년 전까지만 해도 처음 만나서 자기소개하면.,몇살인데.
33217,나 코로나 걸려서 10일만에 남친 처음 만났는데.,너없이는 못살겠나봐.
33007,이런 남자 찾기 힘들어.,아이원하지 않는거 동의가 빡세다.
975,남친이 나 더 좋아해서 그래서 사귀기 시작한건데 점점 식는거 보여.,겨우 한달만에 식는 남자 정리해.
14297,진짜 곱빼기 있듯이.,걍 모든메뉴 대중소를 만들어달라.
27534,우리 대화 쫌 귀여운듯.,근데 커블 별로던디  디스크있어서 샀다가 후회함 유튜브보니까 딱히 좋으것도 아니래.
22881,남친한테 이모티콘 선물해달라고 했는ㅋㅋㅋ.,오 사귄지얼마됏어.
5926,빼빼로데이 준비해.,우린 포키좋아해서 그냥 서로 포키사줌 .
3605,소개팅 한다!!!! 일요일날 본다!!!.,잇프피 선택못하고 혹시 여기골랐을때 상대가 불편해하지않을까 눈치많이보고 찐으로 어딜가도 다좋아서 너좋아하는데가자는거긴할텐데 그래도 첫만남은 니가정했으면 좋겠다.
18067,헤어져야하나 이야기까지 둘이 하다가 결국 다시 잘 사귀기로했는데.,나 불렀니 우린 엊그제 싸웠는데 그냥 하하호호하는중 어차피 안 헤어질 거라고 생각해서 ㅠ.
10732,친한 사람한테 보통 축의금 얼마해.,20 괜찮.
28334,5만원 더 주고 방거실 분리된 숙소 예약할까.,이왕 쓰는거 5만원 더쓰자!.
30030,그냥 기분상 사려고하는데 남친 생일케이크로 별로야.,기분값으로 만 오천원이면 괜찮은데 처치도 너가 하느 ㄴ가.
11625,안서운하고싶다.,에휴ㅠㅠ 무슨 맘인지 알아.
35959,경구피임약은 생리시작할때부터 먹으면 되는건가.,ㅇㅇ신 이중피임 최소 일주일이상해.
1333,무교인데 종교인에 강한 거부감이 있는 친구들이 꽤 있구나.,맥락 잘못짚 그건 미친 거 아님 근데 누구 끌고가려는 순간 미친 것 같다고.
27626,남친이 만약 여 신입 사수 맡는다면.,11.
3477,남친요즘 계속 야근이고 피곤해보이던데 빼빼로보다 영양제가 더 좋을까.,당연하지!.
8601,근데 보통 썸남애인이랑 카톡 텀이 어떻게 됨.,남친이든 썸이든 구분 없음 그냥 호감있으면 엥간하면 칼답함.
12143,이런거 어떰 별상관없어.,본인들끼리 라는 건 신랑신부는 나가서 자란 얘기야 숙소를 잡아드린다고 해집 하루 이틀 내 드리는 건 때에 따라 할 수 있는 거라지만저렇게 자식 부부 집 멋대로 쓴다 만다 통보하는 거 싹을 잘라야 함.
18070,연방검색에 특징 검색해서 봤는데 진짜 재밋어.,일반화하는애들이지 어휴 못난애들.
8746,연상을 오래 만나다가 동갑 만나니까 어색해.,난 동갑한테도 어리광부리긴하는빠라고 부를뻔함 ㅠㅠ.
7766,모두가 잘 헤어졌다고 하는데 연락해보고 싶으면.,아네.
23217,30대교사 소개팅마다 진이 빠지네.,결혼 전제한 소개팅이 보통 그렇더라 더 힘들어.
13483,브라질리언 하고 2주차.,그럴때 보통 어케해 면도할수도 없고ㅠㅠ.
17516,환승 포인트를.,맞아 대쉬할만한 사람 없었으면 더 만났을 걸.
18465,근데 배우자랑 자식한테 엄청 잘하면서도 동시에 바람피우더라.,ㄹㅇㅇㅐ처가 코스프레 하면서 바람 피우는 놈들 진짜 많이봤어 죄책감으로 집에 더 잘하는지 뭔지 ㅅㅂ.
18149,남친 다리털 많은친구은 밀게해.,아닝.
1776,퇴근하고 질염검사 받으려는데 못씻고 받는거지 그냥.,ㅇㅇ.
16853,근데 결혼은 하려고 노력해야 해지는 거야 아님 그냥저냥한 적령기에 연애하다보면 되는 거야.,사바사 케바케.
34336,이럼 데이트 반반내는거야.,ㅇㅇ.
8712,헤어진지 좀 지나서 걔에대한 감정은 아닌거같은데 너무 헛헛하고 공허하고.,흐규 뭔지 알겠음 이 헛헛함 넘 싫다.
36581,돌아온 전남친과 재회할지 말지 봐줄래 현실적으로.,난 만남.
18284,장거리 커플의 결혼은 대부분 남자 지역으로 가게되나.,주말부부 하다가 아기 생기면 남자쪽으로 가더라.
33451,남친은 보고싶은데 데이트가 하기 싫ㅋㅋㅠㅠ.,요즘 비 계속 오던데 핑계로 지짐이나 먹고 집에서 쉬면 안 됨남친 하고 시픈 거 했으면 너 하고 시픈 것도 해야쥐ㅜ.
29994,소개팅 전에 톡하다가 쫑내본 친구.,주선자낀거면 걍 밥이나 한끼먹고 끝내는게 낫지.
5873,너넨 애인한테 너네사진 보내주면 애인 반응이 어때.,예쁘다~ 이.
9465,연인사이에서 표현을 안하는 사람한테 표현 해달라하는게 강요야.,그런사람 안만나는게 답이야.
18453,난 한번 좋아하면 모든 단점 흐린눈 가능해서 문제야.,니친구가 특이한것같은데.
36543,인스타는 하는데 내카톡 답장 안하는.,연인사이 아니면 뭐.
16868,사귄지 얼마만에 생일 물어봤어.,물어보진 않고 카톡 캘린더로 확인했어!.
25775,보통 데이트비 생각할때 자동차 관련된 비용도 생각해.,아니;; 지 차는 지 알아서 해야지.
34156,남친이 소리질렀다는친구 안돌아올까.,가서 또 지르고 있나봄.
28760,내가들어본 전연애 떠보기 방법중 최악.,애 잘못배운.
30363,여의도 맛집 추천해주라!!!.,사람많을거같긴한데 을지다라ㄱㄱㅊㄱㅊ.
24004,다음엔 다정한 사람 만나야지.,하 내가 다 서운함 ㅠㅠ.
19727,상대가 실제로 잘못한건지 아님 내가 과도하게 서운해하는건지.,인정.
15386,너희는 연애에 나이 있다고 생각해 없다고 생각해.,팔구십 노인분들도 연애 쌉가능.
36412,곧 인생 첫 소개팅인데 갑자기 자신 없어짐.,일단 만나봐~ 만났울때 느낌이 중요한거지!.
1914,난뭔가 정이란 걸 느껴본 적 없는거 같음.,나도 불안형 애착인데 상처가 많아서 일부러 정 안주려고 해서 그렇지 오히려 정이 너무 많아ㅠㅠ.
35226,이거 전남친한테 줬던 기프티콘인데 이거 사용한거야 취소한거야 뭐야.,친구야 이메일 계정 보인다!.
3121,요즘 연애가 재밌어서 그런가 ㅋㅋㅋ 연방 상주하게 되네.,나두.
7738,관심 가는 사람이 생겼는데.,너가 팔로우 천명 정도 하는 인스타 과몰입러면 자연스러울듯.
29026,설렘보다 편안함이 큰데 연애 가능.,걍 스킨쉽 가능하면 가능 ㅇㅇ.
21264,남친이 급저녁 약속 생겼다는데 이거 이해 못해주면.,엥 왜 화나.
20741,남편이 나랑 상의도 없이 시누이에게 신혼집 비번을 알려줬어.,존나 예의없어 그럴꺼면 혼자 살라그래.
33073,썸탈때 자기 일상공유 안하기도 해.,100% 다 하진 않더라도 아예 안하진 않지.
17349,모은돈이 현금만 말하는건 아니지 차나 부동산 주식도 해당되는거지.,ㅇㅇ.
2205,생리전 증후군이라해야하나 나이들면서 바뀌기도해.,난 걍 매번 돌아가면서 아프더라 돌려돌려 돌림판 느낌ㅠㅠ 어릴때부터 돌아가면서 아팠어 어느 한부분이 이상하게 아프다 싶으면 생리함 ㅅㅂ.
26492,나는 남친 팔뚝이 그렇게 좋드라.,여자팔뚝하고 촉감이랑 재질부터가 달라 만나면 어느새 내가 남친 팔뚝 만지고 있음.
9731,눈높아서 결혼못한다는건 이제는 이말하는 사람이 오히려 현실감각 없는게 아닐까.,눈높은걸 티내서 듣는 소리 아닌가.
37085,전남친 갑자기 인스타관리하ㅋㅋ.,썸녀생겻나보다.
23152,난 베이킹 취미라서 친구들 케이크 직접 만들어주는데 자랑 한번만 하면 안되니.,ㅜㅜㅜ내칭구해줘ㅠㅠㅠ.
35694,근데 10:0이고 8:2고 6:4고 다떠나서 돈쓰는거 인색하지 않은 사람이 좋더라.,ㅇㄱㄹㅇ.
15408,아이 있는 친구있어.,인터넷 쇼핑몰도 세련되고 예쁜 곳 많은데 리미떼두두 베베드피노 이런건 엄마들한테 인기 많음.
31303,반전모습 넘 좋음.,나도 이렁거 조아.
33798,정치성향 안맞아서 헤어지는거 커뮤사세야.,아니 이혼사유인데요.
11806,헤어졌는데 엄마가 더 힘들게 해ㅜㅜ.,그 마음 알지ㅠㅠ너가 힘든 거 금방 지나가길 바랄게 많이 울고 훌훌 털고 다시 잘 일어나ㅠㅠㅠ.
2786,카톡 이렇게 하는데 너네가 보기엔 어때 ㅍㅍ.,너 별로 안좋아하는 것 같음 저것만봐도 얼마나 만났어 꽤 오래 만난거면 이제 그냥 맘식은 것 같은데.
21392,이 남자 심리 뭐같음.,군대때문에 밀어낸거면 말을 해야지 읽씹을 함 개찐따임.
8288,동료가 편해지면 차에서 노래부르기 가능해.,성격에 따라 다르긴 한데ㅠㅠ.
31735,나 쫌 변태같엉.,원더기는 어떤변태니.
29719,친구들아 남친 선물로 무신사에서 이 셔츠 어때.,오 예쁘다! 어디거야.
30495,남자친구가 친구들 집주소 알고 있어.,ㅇㅇ 놀러온적 있어서.
35453,잘생긴 남자 만나고싶ㅎㅎ 돈은 내가 벌테니까 그냥 적당히 버는데 잘생긴 사람 만나고싶어.,잘생기고 평범하게 버는 남자는 다 임자가 있긴혀.
23199,커뮤에서 헤어지란말 많은게 친구한테 내남친 바람났다는말 잘 못하잖ㅋㅋ.,ㅇㅇ 꼬인애들도많은데 헤어져야할사람들도 많음.
24390,너네 진짜 돈 많고 잘생기고 피지컬 좋은 사람이면 17살차도 가능할 것 같음.,ㄴㄴ.
10890,개인적으로 20대초반 낭비할돈도 없을때 낭비해보는것도 좋다고봄.,아 인 어리고 철없을때 해바야댐.
4545,헤어질 수도 있지 라는말 어떻게 생각해.,그냥 넘어가 센스가 없긴없어보이지만.
9490,종교가 다른사람과 연애랑 결혼 어떻게 생각해.,양가 어르신들도 각 집안 종교 믿으시고.
4346,주우재같은사람이랑 연애하고싶다.,나도.
28425,애인있으면 구썸남 연락에 답장하면 예의가 아니겠지.,무슨 연락인데 일적인거 아니고 굳이 답장 안해도 되는 연락이ㅇㅇ.
18405,피임약 부작용 중에.,나 야즈먹을때 그랬음 야즈 끊고 약국에서 파는 3세대 피임약으로 갈아탔더니 멀쩡해짐.
17776,애인이랑 싸운 상태에서.,빡침 개빡침.
9915,안되내요 못하겠내요 네를 내로 쓰는 인터넷 밈 같은 게 있어.,약간 웃긴 밈말투긴함.
27431,남자친구가 배려심이 없어서 자주 싸우게 돼.,배려심이 어떻게 없는데.
14019,내가 기가찬 기사를 봤는데 더치페이 남편 ㅋㅋ.,왜 같이 살지.
22187,사랑해 소리 안해주는 남친 있니.,사귄지 얼마나됐는데 초반이면 나도 사랑해소리 잘안나오더라.
15233,연애 전에는 남자들이 직구로 말한다는 말 믿었고.,사바사지.
29251,나 160에 70인데 아빠만 좋아함.,건강을 위해서 빼는게 좋겠어.
26618,질 안에 혹 나본 친구.,나 수술햇으.
37459,헤어질 생각에 잠이 안와서 밤샜다 ㅋㅋ.,힘내구.
26095,내가 유난인지 서운할만한지 말해줘.,힘든 상황 함께 할 사람은 아닌 듯.
29742,고백했다가 까였ㅋㅋㅋ.,너 ㅌㄷㅌㄷ.
6843,왕친구씨!!!! 카테하나만 더 만들어주면 안될까.,성소도 연앤데 걍요기다올리면되자낭.
