,title,comment
40,상처받고 시작한 연애.,그런애기 했는지도 모를껄요.
41,애프터 잡고 톡하는데 질문을 별로 안 하네요.,카톡 넘 많이하면 나중에 할얘기없어요ㅠ 만나서하세여!!.
42,선톡 고민 되는데.,고고.
43,여친이 내 인스타 팔로우로 왈가왈부.,아니 ㅇㅅㅇ.
44,이거 여자가 관심있다고 봄.,근데 저녁에 통화도 강제가 되면 피곤할듯ㅇㅇ.
45,부모님이랑 식사 조금 많이 이른걸까.,상관없다 봄.
46,몇달전에 여기서 향수 추천받은거 시향해봤는데.,크리드 어벤투스도 존좋 정장입고 한 손엔 브리프 케이스 들고 있는 워커홀릭남 느낌.
47,추억은 과연 힘이 있을까 질문있습니다.,이 정도 완고함이면 그냥 포기하시는게.
48,안연애이태원추모로 유튜브영상이 멈췄다.,ㄹㅇ 이번주 영상 다 업로드 안한다네.
49,가 뭐에요.,펑예  글 삭제 예정 아마 이런 뜻일거에요 혹은 글 지울 예정.
51,전여친과의 카톡 중 하트 공감표시 의미.,하트는 좀 그렇네요 따봉도 있는데.
52,크리스마스 예약 보통 누가 함.,대부분 남자가 예약하지않나.
53,형제나 다름없는 남사친이래 컄ㅋㅋ.,죽인다.
54,현여친이 전연애를 너무 궁금해하는데 떠보는거임.,모르는게 나은데 왜 알고싶어할까ㅋㅋ.
55,님들 첫경험 언제함.,23살 여름.
56,취향이 확고하다눈이 높다 인가요.,본인만의 기준이 확실하다 아님  뭐 외모가 됐던.
58,짝녀가 고백받았다고 자랑하는데 착잡하다.,내가 볼 땐 너한테 빨리 고백하라고 시위하는 거 같음.
59,약간 몸무게랑 키 대비 살 안쪄보이는 체질도 있나.,근돼.
60,호의와 호감은 어떻게 구분할까.,선을 넘는 호의가 호감이지.
61,솔직해 질 필요가 있는지좀 봐주시요.,저여자분이 님한테 호감이 있다 아님 님이.
62,패갤에서 그림신청한거받아서 프사올렸는데.,어우 난 개인소장해야겠다ㅋㅋㅋㅋ.
63,입대 선물 뭐가 좋을까요.,입대선물은 돈이 최고다.
64,내일이 시험 마지막  짝녀랑 카공 마지막이에요.,강철팬티나 챙겨가라구.
65,짝녀가 카톡으로 존댓말함 .,나도 가끔 연하한테 그렇게 보냄 그냥 반말로 보내면 딱딱해 보일때 ㅋㅋㅋㅋㅋ.
66,이러면 무조건 안좋겠죠.,걍 물어봐도 되지 않아요 .
67,오전에 시험인데 연갤을 떠나지 못하는 망령.,30분 공부하고 연갤보는거 반복중 후.
68,근데 님들은 이성 친구는 몇명 정도 있음.,10명은 넘는둣.
69,여자를 이성으로 안보는 방법 좀.,그런건없소.
70,이거 그린라이트입니까.,뭐야 썸도 아닌데 저런다고.
71,아니 전글이랑 무관한건데 여지냐 이거.,여지라기보단 잘못 먹으면 탈 날것같은 그런 .
72,크리스마스 vs 새해.,새해.
73,헤어진 전애인의 인스타스토리 읽습니까.,절대 안읽음 카톡도 지워버리고 연락처도 지워버림.
74,여친이랑 손만잡아도 발기가 돼요.,발기만 되는건 아닐텐데말이죠.
75,근데 3살 위 짝녀 말투가 이상해요.,비추줌.
76,사후피임약 먹고 생리 언제 하셨나요.,수리남 이 집사.
77,톡 할말없게 하면 똑같이 해주면 되죠.,웅웅.
78,저 사실 잘못 말씀 드린 사실이 있어요.,어쩔티비.
79,아무래도 까인게 맞겠죠.,ㅇㅇ.
80,급식인데 페브리즈 같은 섬유탈취제가 나은가요 아님 향수를 쓰는게 나은가요.,향수 노노 놀러 갈 때 뿌리는 건 고ㅊ아도 학교는 노노.
81,여친이랑 싸울거 같음.,애인간에 서로 인간관계나 개인약속 터치는 연애의 끝을 앞당기는 제일 큰 요인임.
82,길게 연락한 정도는 아니긴한데.,만나는거에 생각을 해볼정도면아닌거같음.
83,왜 항상 난 힘든길을 선택할까.,금태양dna.
84,예의바른애들은.,ㅇㅇ자기 딴에는 매너임.
85,혹시 여성향수 잘 아시는분.,좋아하는 향 그 사람 패션 이런거에 따라서 고르는거 아님ㅋㅋ.
86,20대 초반 데이트 비용ㅠ 도와주세요.,노 말해야함 말안하면 모름.
87,만나서 물어보는게 나을까요.,내일 가는거면 오늘 물어야지.
88,상담부탁드려영.,장난이랑 진담 사이의 아이스브레이킹이 있으면 좋겠네요.
89,사귀고 첫 1박 여행에서 잠만 자고 오고싶은데.,언젠간 부딪혀야 될 문제지만 지금 부딪힐 생각 아니면 그냥 당일치기로 가요 준비되고 부딪히면 되잖아요.
90,교복은 필승.,그걸 질문이라고 마.
91,다들 연애초엔 뜨거우신가요.,나도 그냥 미적지근함 첫연애는 죨라 뜨거웠는데 두번세번 하다보니까 상대방을 얼마나 사랑하든 그냥 연애자체에 좀 미지근하게 됨ㅋㅋ.
92,소개팅녀 안읽씹 이후 카톡이 왔습니다.,제 생각엔 정중한 거절로도 보이니 다른 날로 그분께서 약속을 잡으시는걸 봐야될거 같아요.
93,썸 단답만 오는데 그냥 급발진 해볼까요.,썸깨져도 지장없음.
94,썸녀 톡내용이랑 답이 좀 느려졌는데.,공부하러간다햇으면 좀 너무 깊게생각하지마셈 거기다가 내일 만나기로햇다며 ㅋㅋㅋ 내일얼굴봤는데도 정 느낌 이상하면 고백다음으로 미루고 ㅋㅋㅋ.
95,여자친구한테 엔빵 하자하기.,뭐 비싼거 아니면 서로 사주면 되지 않음 엔빵은 뭔가 좀 .
96,이거 머냐.,ㄷㄷ.
97,30살여친 생일선물 추천.,평소 갖고 싶어하는거 물어보진 말고 잘 캐치해봐요 가격대는 이때까지 선물준거중에 젤비싼 물건가격이하면 안부담스러울듯.
98,연락을 카톡과 전화.,먼가 통화하는거 좋아보여 ㅜㅜ 로맨틱해.
99,근데 맨다리보다 스타킹신은게 더 좋음.,나는 무조건 맨다리 찢는 것도 개불편하던데.
100,결혼하신분들이나 커플중에에 ㅅㄹ가 심했던 여친있으신가요.,출산하면 달라지는 경우 있을거에요~.
101,썸 단계에서 여러사람 연락하는건.,여러명과 썸을 타다가 골라잡으려는거면 어장이죠.
102,너무 좋아하면 가능할까.,123 다 과하다 느껴지지 않아용.
103,다시 해봐도 되는걸까요.,두분 나이가.
104,살아온 환경이 다른 사람을 만난다는게.,굳이 극복할 필요가 없을수도 있음.
106,여성분들 있다 없다 하는거 머임.,그냥 붙인 건가.
107,누나가 애기같다고하면.,애기 같지 않은면을 보여주면되지 남자답게 가보자.
108,초성 좀 맞춰주세요.,뭐니뭐니해도머니.
109,여자 성욕 가장 저점일때가 언제임.,딴남자가 끌릴때.
110,많이 사랑하면 상대가 조금만 달라져도 속상한가요.,나를 대하는 태도가 달라지면 속상하죠.
111,텔비 남자가 내면 밥값은 여자가 내야하는거 아님.,정하진 않아도 보통은 다 그렇게하던데.
112,남사친한테 어떻게 다가가야 할까.,연락보다 만남을 자주 가지세요 진짜 2주안에 약속 안잡히면 걍 포기.
113,여자가 질문 없으면.,그정도면 좀 더 해볼듯.
114,넓은집에 혼자사니까 우울증 더심해지는거같음.,나좀 둘이살래.
115,전여친이 아직 내 스벅아이디 사용하는데.,신경쓰이면 말해야지 그리고 정리하는게 깔끔함.
116,최근 배우 우울증약 기사  나도 이해가 가는게.,막 이것저것 하고싶은 충동같은건 안듬.
117,애인이 야한이야기하는거 싫어하는분 있나요.,상대의 관계에 따라 다른듯.
118,성욕이 아무리없다고해도.,사바사.
119,짝녀랑 전화할때.,그냥 목소리 듣고싶다 안 받아주면 맘 접어야지 머.
120,21살 모쏠남 카톡흐름 질문이요!.,생각보다 상대분이 적극적인데 같이할 수 있는 취미거리 찾는것도 좋을수도.
121,이거 답장 해야되나요.,하는게 보통 맞죠.
122,고수님들 약속잡기 너무 부담일까여.,나쁘지않은 방법이라 생각함.
123,교양 수업에서 앞에 앉은 여자애가 사탕 나눠주면.,혹시 말걸까봐 사탕먹으라고 한거 아니냐.
124,답답해서 올려봐요.,넵.
125,약속 당일 파토 나 농락당한거냐.,진짜 일수도 있는 가능성을 믿고 한번은 더 약속 잡아보고 또 깨지면 아웃.
126,락밴드가 해체되는 이유랑 비슷한걸까.,두명이 풀어지길 바라거나 셋이서 다니거나 일 거 같은데요 참 혼성으로 놀면 그런 경우가 진짜 난감합니다.
127,연애초본데 스킨십 진도 그런 건 어떻게 나가는 거죠.,너무 재지말고 적당한 타이밍에 갈기셈.
128,코로난데 배달음식은 시켜먹어도 되겠지.,갠차나 굶어죽을순 업자나.
129,이거 좀 과한가.,그 전에 연락 안 해봤으면 깊콘으로 천천히 빌드업 고고.
130,진지한 연애고민.,홈트.
131,이게 가능한 일인가요.,인간 관계는 결국 운빨이라고 생각하는 사람으로서 가능하다 생각함.
132,이거 어느정도 환승각인가요.,글올려주신상황만 봐서는 맞는거같은데요.
133,이해가 잘 안됨.,그 사람 입장에선 스토리 보여줄 정도로 안친한거 아님 .
134,소개팅 후기입니다.,카톡에 너무 신경쓰지 마세요~ 잘 될겁니다 파이팅.
135,제목을 뭐라써야될지 모르겠지만 암튼 상담임.,엑셀에 발떼라.
136,진짜 이별로 인해 너무 힘드네요 죽고싶네요.,힘내세요 그럴 때 일수록 사람 많이 만나야 됩니다 ㅠㅠ.
137,냉정하게  현재 현실은 정말 어느정도인가요.,그런거 엄슴.
138,이정도로 서운해하는거면 좀 피곤한가.,일주일에 몇번 만나는게 적당하다고 생각하는지 둘이 이야기를 해봐야할듯.
139,이별통보 이렇게 답장 보냈어요.,토닥토닥.
140,뜻이 뭔가요.,펑예정.
141,하루에 슴닿 세번이면.,어떻게 닿았는지가 중요한디.
142,짝녀가 정말로 생일선물 안줘도 괜찮다고하는건.,준비까지 했으면 주는게 받는거 부담스러워서 그런가 고가선물 주지말고 줘보세요 저도 잇프제.
143,이정도면 그린라이트.,걍 지금 갈겨 뭣하러 시간끔 ㅋㅋ.
144,그린라이트 맞겠죠.,고ㅁ.
145,인간 혐오증 고치는방법이 있을까.,요새 경의중앙선 타고 출퇴근하다보니 없던 혐오도 생길판인데.
146,사람 잊는법좀.,시간.
147,다들 이별이 힘드신가요.,만남은 쉽고 이별은 어려워.
148,이런 사이는 그냥 멀까요.,님이 그녀의 좋은 친구.
149,서울은  30평대도 전세9억이 기본이그너.,아파트는 그렇고 욕심 버리고 빌라 같은거 찾으면 23억대도 꽤 있어요.
150,이벤트복장 추천좀.,메이드복 교수진사마~.
151,저 말고 여친이 사과를 하는게 맞을까요.,님은 어떨지 몰라도 내 기준 님 여친이 좀 심하게 예민하고 싸우는 방식도 너무 뇌내망상에 감정적이라 사과 받는게 맞음ㅋㅋ.
152,인기글 보고 궁금해서 물어봄.,노노.
153,치료사님한테 호감이 가는데 고민되네요.,라포형성을 하려고 친절하게 대하는것같은데  답은 여기 있었군요 고객 관리 차원인거 같습니다만 ㅠㅠ.
154,여자친구 선물용 목걸이 괜찮나요.,이쁘다.
155,입술색 변색 피부과에서 고칠 수 있을까.,입술을 봐야하긴한데 겨울에 발생한거면 연고는 큰 의미 없을거고 시술 받아야할듯.
156,연상여친 부모님소개.,응원합니다  평범한 부모님들은 아들의 여자친구 소개시켜주면  전과자나 예의 말아먹은 무개념 아닌이상  다 좋아합니다  7살정도는 부모님도 어느정도 허용기준일것같아요 반대로  딸의 부모님들이 견제하지.
157,지역에 관한 싸움 봐주실 분 계신가요.,쟤도 뇌가 커뮤애 절어서 그런생각하는듯.
158,젠리 배터리 많이 닳음.,나는 걍 검.
159,애인이 있어도 외로울땐.,취미는 만들되 이성과의 접점은 최소한으로 하는게 좋죠 저는 공부나 남자친구분께서의 취미를 더 알아가는 것이 좋다고 생각합니다.
160,식은건가.,답장 텀 가지고 판단 노노해 막 12시간만에 오고 그러지 않는 이상ㅋㅋㅋㅋ 좀 여유로워지삼 그게 더 매력적임.
161,카톡이렇게 왓는데 무조건 약속 빨리잡는게 맞음.,인정인정.
162,인스타 처음 만들어서 라이브 들어가봤는데.,얼굴 안 보일거임.
163,잘해보고 싶은 사람이 생겼는데 도와주십쇼 ㅠ.,네 천천히 다가가세요 혹시모르죠 혼자만의 썸일지도 본인의 감정의 속도가 상대와 같다고 생각하시면 안됩니다.
164,여친이 생일선물로 마사지기 사달라고 하는데.,필요하다면 걍 사드리는게.
165,이거 제가 예민한건가여.,님이 좀 이상한듯 무슨 부처 나셨다고 비꼴정도 인가 ㅋㅋㅋ님이 존나 꼬이신듯.
166,이거 파트너랑 카톡인데.,아니라고 답하는순간 여지 준거고 시한폭탄 타이머 작동일지도 저기서 선그어야 아 내가 관계를 안하면 얘를 못보는구나 싶은데 저래버리면 욕심나지~.
167,연락에 연연 안하는 법좀 ㅠㅠ.,백수임.
168,떨어지기만 하면 너무 불안해하는 여친.,분리불안인가병원가자고 해야죠 뭐.
169,여자친구의 심리를 잘모르겠어.,내로남불 가스라이팅.
170,고딩인데 디엠 어케보내는게 좋나요.,가능성이 너무 적어서 감도 안잡힌다ㅠ.
171,사랑니 고민.,나도 금욜인가 목욜에 뺐는데 통증 점점 괜찮아지던디 엄청 깊게 박혀있는건가부네요 빼고나서 하루이틀은 얼음 찜질 해주라고 하던데.
172,지금생각해보면 궁금한거.,내 느낌은 요즘 연인 관계에서 성관계는 필수적인 부분인데 자신은 안좋은 기억 때문에 더뎌질수도 있다는 걸 미리 언급하는거 아닐까요.
173,어떻게 풀어줘야 하죠.,ㅇㅇ 그정도함.
174,20대 학식 애인 부모님 계시는 집에서 잘 수 있음.,참고로 애인이 완전 막둥이임 형제들이랑 10살 차이남.
175,처음 헤어졌을때 카톡 프로필 내렸다 올렸다 하던 사람이.,일희일비하지마요 그런걸로 알아주길 바라는 사람은 극히드뭅니다.
176,으으으 전여친한테 전화 너무 하고 싶네요.,차단푸는거 의미없지않나요 잘모르겠네.
177,여성분들 술먹고 남사친이랑 관심없이 키스가능.,가능하다고 들음 ㅋㅋ.
178,여자친구가 갑자기 뭐 사달라는 얘기.,커피정도는 뭐.
179,처음으로 상담올려봐요.,해보셈.
180,여성분들은 심하게 다투고 서로 시간을 갖는 과정에서도.,난그랬음 빼면 진짜 끝인거.
181,미자인데 성인이랑 썸 길게 타고 있거든.,여자한테 좋은 인연이 있으면 허물어질 수 있는 관계.
182,이거 미련이겠죠.,연락 온거아님.
183,음 일방적인 선연락에 대한.,그냥 밥 한 번 먹자 해.
184,저만 여자보는 기준이 이런가요.,걍 전여친을 못 떨쳐낸것뿐.
185,27모솔 이거 좋아하는거 맞는건지 좀 봐줘.,좋아하는 거 까진 아니고 관심은 있는듯 연애 스타일은 상대방이 물어본거야.
186,님들은 결혼 전제 따질때 어느게 먼저인가요.,집안을보겠쥬.
187,댄스동아리 그만두고싶은데 무개념이야.,같이 준비하는 사람들 입장에선 비난할 수도 있겠지.
188,30대중인데 집안재산 이정도면 결혼 욕심내도 될까.,직업만 있어도 결혼은 가능.
189,코끝 성형 하고싶은데 어떤 생각 들음.,콤플렉스면 햐.
190,헤어진지 한달 됐는데.,서로 소식 모르고 지내는게 제일 좋죠.
191,짝녀랑 톡한건데 그냥 아무느낌 없죠.,지금 대화에서는 걍 친한 친구 같네여.
192,늦게 온 답장에 대한 텀.,저랑 너무 비슷해서 저도 궁금하네요 ㄷㄷ.
193,이대로 가도 괜찮을까요.,님이 별로 관심없는듯 간절하면 저렇게 안됨.
194,이사람 머임.,그냥 밤에 감성에 이끌려서 여기저기 추파 던진듯.
195,뭐먹는것도 인증하면 안대지.,먹는건 상관없지않나.
196,짝녀랑 잘될거 같다가 망했는데 다시 희망이 있을까요.,첫 세줄때문에  여자 특성 때문에 가능성 있기야 하다고 보는데 어차피 잘되어도 괴로울 거 같아서 비추 근데 딱 답만 말해보면 매달리지 말고 친구로 지내자느니 뭐니 하지말고 그냥 가만히 있으면 될듯 솔직히 그냥 남미새나 어장같아서 비추긴 한데그래서 더 가만히 있으면 된다는거임 남미새 어장 특  자기가 이제 좀 부담스럽다 싶어서 밀어냈는데 예상외로 상대가 반응 조깥고 안매달리고 뭐 어쩌라고 싶으면 다시 신경씀.
197,반지 잃어버렸는데 직업특정상 낄수가없음.,반지맞추는곳 추천점 사이트에서 맞추려고.
198,3달에 한 번 보는 커플 이상한가요.,심하다 심해 .
199,님드라 여사친이랑 매일 전화 가능.,할 얘기가 그렇게 많아요.
200,진짜 궁금.,자존감 충전소.
201,나 이거 들어간다!!.,뭔지 모르겠다  이전글이랑 이어지는거임.
202,관심받으니까 기분좋다 ;ㅅ;.,쪽지.
203,이런 경우에 사귀는데 관계 안 하는 건 이해함.,본인 그럴 일 없을거라 생각하지만 다른 사람과의 연애 때도 관계는 못할 것 같음 내가 공격이면 괜찮을 것 같음.
204,어떻게 해야할까요.,해당 부분에 대한 대화를 해보셨는지요.
205,카카오스토리가 없다가 다시 생긴건 뭐지.,그런것같네.
206,아까 커플티.,커플티로는 아닌것같어.
207,정떼는법 있나요.,안돼ㅜㅜ 사랑을 지켜나가.
208,고백각인가.,각임.
209,여자친구가 학벌갖고 자꾸 부러워하는데 어쩌죠.,취직해야할듯.
210,여친 연락.,할 일 좀 하고 답장하게 두자.
211,미팅을 처음으로 나가봅니다.,Ru21에 컨디션.
212,글쓴이인데 여친 카톡 읽었네요.,화이팅.
213,여자친구 안읽씹 상태 피말리네요.,한번만 말하지.
214,지금 완전 슬퍼서 뭐든 부정적으로 대답하기 쌉가능.,배고픔.
215,여자친구 설득방법.,이거 설득 안돼요절대 안되고 그냥 다독다독하면서 생리할때까지 기다려야해요.
216,소개팅 후 질문.,어느 정도 긍정은 맞지않을까.
217,혹시 여사친이나 남사친이랑 룸메 해보신 분 계신가요.,지금까지 아무일 없었으면 없겠죠 라고 끝내고 싶네요.
218,생리통에 좋은 음식.,진통제말곤 없어요.
219,ㅂ 155cm 상위 20%안에 드나요.,굵기까지 좋으면 나이스.
220,키스 이후 진도가 너무 고민되는데ㅠㅠ.,와 3주차에 티파니 ㄷㄷ.
221,여친이 과거 나랑 소개팅하는동안 여럿 만났다면 어땠을것 같음.,주변에서도 그러는사람 많고 나도 그랬어서 딱히 별 생각 안듬.
222,이거 남자가 관심 없는건가요.,밥 한번 먹자고 한 사람이 제 여사친.
223,mbti 재밌는데 istj 이랑 사귀는분들 계신가요.,나 istj 인데 ㅋㅋ.
224,istp 여자분 사겨보신 분 있나요.,지금 나도 똑같던데ㅋㅋㅋ.
225,연락하는.,먼말이야.
226,망한거지~.,아직 개같이는 아닌거 같은데.
227,여자친구가.,나도 그래서 세탁한번함.
228,여자 키 고민.,걍 키가 어찌됬든 내가 그분 좋아하면 키 이런거 상관안할듯 내가 좋아하면된거니깐.
229,헤어진 여자친구와의 전화 내용 상담 부탁드립니다.,아니요 나빠요.
230,istj 분들 연애할때 혹시.,자기만의 시간이 필요함.
231,근 6년만에 연락하면 이상해보일까요.,전혀 안 이상하고 반갑고 고마움.
232,애인의 과거 섹파에게 했던 복수.,ㅍㅇ가 뭐임.
233,원나잇 섹파 경험있는 애인.,걔가 10년동안 안사귀어줬네ㅋㅋㅌㅋㅋㅋ.
234,장문 헷갈려서 미치겠어요.,좋아했으면 바빠서 연애못한단얘긴 절대안했을거같은데.
235,디엠 안읽는게 맞겠죠.,피곤하게 연애하네.
236,썸녀 갑자기 왜이럼.,연락 더 하려는데 님이 끊고 자러간다고 한건 아님.
237,뭐 잘 못 했나.,나도 맨날저렇게보내는데 화난거같음.
239,화이트데이 초콜릿 여기 사보신분.,번호바꿔.
240,연락 줄이자고 했는데 너무 예민한 부분.,예민 안예민을 떠나서 아플때는 그냥 안싸우는게 맞습니다 서로 아픈 상황이고 글쓴이분께서 지금 화가나신 상황이지만 잘잘못 떠나서 몸조리 잘 하고있냐고 연락하시는게 좋아보여요.
241,아 언제 고백하지ㅜㅜ.,상대방 마음 확인하고 싶으면 여행가기전에 약속잡고 그냥 만나서 고백해.
242,여친 옷 선물을 사려고하는데 고민입니다.,패갈이 더 도움 될 것 같습니다요.
243,정말 몰라서 물어보는건데요.,연애x 하고 쓰면됨.
244,연인 사이에 연락.,케바케긴한데 저정도는 최소인듯 저정도도 안하면 안대지.
245,상대가 좋아하는건지 확신이 안가네요.,우앙 나도 모르겠다.
246,고백할까 말까.,고백하시죠 이정도면 90프로 가능하다봅니다.
247,고백 타이밍.,고백은 도전이 아닌 서로 마음 확인하고 도장찍는 겁니다.
248,이대로 시간 지나면 될까.,그냥이름부름.
249,오랜만에 연락온 친구에게.,술한잔고.
250,어플로 만났으면 카운트 시작이 언제일까.,어플로 안만나고 그냥만났어도 그게 기념일이 됌.
251,다들 주말 약속 어떻게 하시나요.,평일에 안만나는데 보통 주말에는 최소 한번은 보는걸로 그냥 생각하고 있지 않나.
252,썸타는 관계에서 밀당이 필요하다고 보시나요.,난 그런거 할 줄 모름.
253,아무 결정도 못 내리겠다.,ㅠㅠㅠㅠㅠ여친 어디나라인데 나도 ㅈ같다 롱디.
254,국제 돌겠네.,속썩어문드러지겠네.
255,저는 한심합니다 한마디 부탁드립니다.,그냥 첫연애라 그런듯 어찌보면 한심한거 맞은데 그걸 님이 알고있다는게 다행이네요.
256,여친 알바중이라 친구 만나러 갔는데.,대충 읽어도 숨막히네.
257,아까 글 올리긴했는데 더 많은 의견 얻고싶어서 다시 올려봄.,좋아하는 사람이에요.
258,마치 김건모의 잘못된 만남처럼 되어가는 듯한 ;;.,그 어느 날~너와 내가~.
259,나 이거 기분 나빠해도 되는건가.,빡칠만함.
260,여친 어케 위로해줘야돼.,여친이 몇살인지 모르겠는데 요새 별로 인식 안좋은 듯.
261,성인 돼서 부모님 눈치보는게 쪽팔리긴 한데.,네.
262,여자친구 자존감 문제.,자존감은 상담 직빵 너가 고쳐주려면 진짜 많이 힘들거야.
263,여자친구 장난기.,귀여워서.
264,그냥 외롭다 연애하고 싶다 매우 외롭다.,이런날도 있는거죠 화이팅!!!!.
265,갑자기 안읽씹은 머지.,아직까지지금 상태가 썸인상태.
266,잘맞는 사람 만나는게 좋나요.,다른 점이 많다고 미리 쳐낼 필요는 없지만 나중에 힘들어질 가능성이 정말 높죠 그래서 그런지 전 애초에 잘 맞는 사람에게만 호감이 생겨요.
267,돌려서 거절하는법.,넹 그 정도로 충분해요 솔직히 만나지도 않았고 어플로 알게 된 상대라면 그냥 차단하는 게 젤 쉬울 거 같긴 한데 착하시네요.
268,오늘 소개 받았는데.,자동차극장에서 스파이더맨 안함 요즘 다 킹스맨으로 바뀜.
269,가 뭐야.,펑 예정.
270,여자친구의 과거때문에 만남의 확신이 안섭니다.,연애전에도 그러는데 연애하면 답없어요 의심하거나 자꾸 생각하게되실거구인연이 아닌거죠.
271,본인 인생 죽고싶음 어떡함.,일단 알바부터 구해보죠 바빠서 잡생각 안나는 알바하면 좀 나아질지도 사람많은데 가면 사람도 사귀고.
272,이건 무슨 심리임.,진짜 심심한듯.
273,제가 생각하는게 맞는 걸까요.,ㅖ.
274,빼뺴로데이 상대방이 선물 취소.,그래 삐졌다 하고 말걸 키우네.
275,흐지부지한 상황이 됐어요.,고백해 짝 고백해 짝.
276,연인이 한 번 정 떨어지면 다시 회복하기 힘드나요.,사람마다 다르겠지만 그걸 덮을 더 조흔 추억 만들면 가능 전 가능했고 지금도 진행중.
277,카톡 텀 질문.,수능때까지 존버해봐요.
278,관심있어하는걸까요.,ㅇㅇ.
279,여사친 호감인가 착각인가.,호감 같은데.
280,남자분들 솔직하게 대답해주세요!.,문제 될게 있나요.
281,연애초 질문점.,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그게 정답이 없으니까 연애지 그건 상대방이랑 맞춰가야됨.
282,이런 경우 매력 없음.,또 싸우고싶으면 지금처럼 계속 티 내던지 정도가 적절해보임.
283,찌질한 아싸의 발악.,아무사이도 아닌데 왜 따져요.
